"name","level_min","level_max","armor"
"Qiraji Brainwasher",61,61,4091
"Qiraji Lasher",61,61,4204
"Qiraji Slayer",61,61,3778
"Qiraji Champion",63,63,4691
"Obsidian Eradicator",60,60,4281
"The Prophet Skeram",63,63,3795
"Anubisath Sentinel",60,61,4091
"Emperor Vek'nilash",63,63,4691
"Emperor Vek'lor",63,63,4656
"Anubisath Defender",62,62,4391
"Xil'xix",62,62,3469
"Aluntir",62,62,3469
"Arakis",61,61,3469
"Viscidus",63,63,4691
"Vekniss Drone",60,60,3791
"Anubisath Warder",63,63,4691
"Obsidian Nullifier",61,61,4091
"Qiraji Scarab",60,60,4691
"Hive'Zara Drone",60,60,3791
"Hive'Zara Collector",60,60,3791
"Hive'Zara Soldier",61,61,4091
"Hive'Zara Sandstalker",61,61,4091
"Hive'Zara Wasp",61,61,4091
"Hive'Zara Stinger",61,61,4091
"Giant Eye Tentacle",60,60,4691
"Flesh Hunter",62,62,4391
"Hive'Zara Tail Lasher",61,61,4091
"Obsidian Destroyer",61,61,4681
"Ossirian the Unscarred",63,63,4691
"Moam",63,63,5216
"General Rajaxx",63,63,4691
"Qiraji Swarmguard",61,61,4681
"Swarmguard Needler",61,61,4204
"Kurinnaxx",63,63,4691
"Anubisath Guardian",62,62,4681
"Ayamiss the Hunter",63,63,4691
"Buru the Gorger",63,63,3795
"Merithra of the Dream",63,63,4691
"Caelestrasz",63,63,4691
"Arygos",63,63,3795
"Anachronos the Ancient",63,63,4691
"OLDWorld Trigger (DO NOT DELETE)",60,60,3791
"Colonel Zerran",63,63,4691
"Major Yeggeth",63,63,4691
"Qiraji Warrior",61,61,4091
"Major Pakkon",63,63,4691
"Captain Drenn",63,63,4691
"Captain Xurrem",63,63,4691
"Captain Qeez",62,62,4391
"Captain Tuubid",63,63,4691
"Sand Vortex",60,60,3791
"Ironforge Brigade Rifleman",60,60,4110
"Ironforge Brigade Footman",60,60,4610
"Janela Stouthammer",60,60,3791
"Arcanist Nozzlespring",60,60,3791
"Shrieker Scarab",60,60,3791
"Spitting Scarab",60,60,4091
"Lieutenant General Andorov",61,61,3100
"Kaldorei Elite",60,60,2400
"Eranikus, Tyrant of the Dream",63,63,4691
"Canal Frenzy",60,60,3791
"Princess Huhuran",63,63,4691
"Fankriss the Unyielding",63,63,4691
"Lord Kri",63,63,4691
"Battleguard Sartura",63,63,4691
"Ouro",63,63,4691
"Anubisath Warrior",62,62,4091
"Anubisath Swarmguard",62,62,4204
"Princess Yauj",63,63,4691
"Vem",63,63,4691
"Eye of C'Thun",63,63,4691
"Krug Skullsplit",60,60,3791
"Merok Longstride",60,60,3791
"Shadow Priestess Shai",60,60,3791
"Orgrimmar Legion Grunt",60,60,4610
"Orgrimmar Legion Axe Thrower",60,60,3791
"Hive'Regal Hunter-Killer",60,60,3791
"Spawn of Fankriss",63,63,4691
"Glob of Viscidus",60,60,3750
"Ouro Scarab",60,60,2500
"C'Thun",63,63,4691
"Lieutenant General Nokhor",63,63,8200
"Qiraji Brigadier General Pax-lish",60,60,5900
"Colossus of Zora",63,63,9500
"Orgrimmar Elite Shieldguard",60,60,3075
"Orgrimmar Elite Infantryman",60,60,3791
"Orgrimmar Elite Cavalryman",60,60,3791
"Stormwind Cavalryman",61,61,4091
"Stormwind Infantryman",60,60,3791
"Stormwind Archmage",62,62,4391
"Ironforge Cavalryman",61,61,4091
"High Commander Lynore Windstryke",63,63,4691
"Highlord Leoric Von Zeldig",63,63,4691
"Malagav the Tactician",60,60,3791
"Duke August Foehammer",63,63,4691
"Vekniss Hatchling",60,60,3791
"The Master's Eye",61,61,20
"Sartura's Royal Guard",61,61,4691
"Deathknight",61,61,5093
"Spectral Horse",63,63,20
"Risen Deathknight",61,61,4091
"Dark Touched Warrior",61,61,4091
"Death Touched Warrior",61,61,4091
"Deathknight Cavalier",61,61,3316
"Dread Creeper",61,61,4091
"Necro Knight",61,61,2073
"Bony Construct",61,61,4091
"Stoneskin Gargoyle",61,61,4096
"Skeletal Smith",61,61,4091
"Unholy Axe",61,61,4091
"Unholy Staff",61,61,4091
"Unholy Swords",61,61,4091
"Eye Stalk",61,61,4091
"Plague Slime",61,61,4091
"Infectious Ghoul",61,61,4091
"Fallout Slime",60,60,3791
"Mutated Grub",61,61,4091
"Master Craftsman Omarion",60,60,3791
"Sewage Slime",60,60,3791
"Archmage Tarsis Kir-Moldir",60,60,3791
"Deathchill Servant",61,61,4091
"Plagued Gargoyle",61,61,4091
"Plagued Ghoul",61,61,4091
"Plagued Deathhound",61,61,4091
"Necro Stalker",61,61,4091
"Naxxramas Follower",61,61,2073
"Naxxramas Worshipper",61,61,2073
"Crypt Guard",61,61,4091
"Corpse Scarab",60,60,2500
"Deathknight Understudy",60,60,7505
"Spectral Trainee",61,61,3316
"Anub'Rekhan",63,63,4691
"Bile Retcher",61,61,4091
"Carrion Spinner",61,61,4091
"Crypt Reaver",61,61,4091
"Embalming Slime",60,60,3791
"Feugen",63,63,4691
"Frenzied Bat",60,60,3791
"Gluth",63,63,4691
"Gothik the Harvester",63,63,3795
"Grand Widow Faerlina",63,63,4691
"Grobbulus",63,63,4691
"Heigan the Unclean",63,63,4691
"Highlord Mograine",63,63,4691
"Poisonous Skitterer",61,61,4091
"Kel'Thuzad",63,63,3795
"Lady Blaumeux",63,63,4691
"Living Monstrosity",62,62,4391
"Loatheb",63,63,5491
"Mad Scientist",61,61,4091
"Maexxna",63,63,4691
"Naxxramas Cultist",61,61,3891
"Naxxramas Acolyte",61,61,3891
"Noth the Plaguebringer",63,63,4691
"Patchwerk",63,63,5491
"Patchwork Golem",61,61,4091
"Plague Beast",61,61,4091
"Plagued Bat",60,60,3791
"Sapphiron",63,63,4691
"Shade of Naxxramas",61,61,4091
"Sir Zeliek",63,63,4691
"Skeletal Steed",61,61,4091
"Sludge Belcher",62,62,4391
"Stalagg",63,63,4691
"Stitched Spewer",63,63,4691
"Surgical Assistant",60,60,3791
"Thaddius",63,63,5491
"Thane Korth'azz",63,63,4691
"Venom Stalker",61,61,4091
"Father Inigo Montoy",60,60,3791
"Deathknight Captain",61,61,4091
"Korfax, Champion of the Light",60,60,3791
"Commander Eligor Dawnbringer",60,60,3791
"Archmage Angela Dosantos",60,60,3791
"Rohan the Assassin",60,60,3791
"Huntsman Leopold",60,60,3791
"Mataus the Wrathcaster",60,60,3791
"Rimblat Earthshatter",60,60,3791
"Rayne",60,60,3791
"Instructor Razuvious",63,63,4691
"Mokvar",60,60,8401
"Deliana",60,60,3252
"Mux Manascrambler",60,60,8401
"Anthion Harmon",60,60,3075
"Ysida Harmon",60,60,3075
"Falrin Treeshaper",60,60,3075
"Bodley",60,60,3075
"Spirit of Lord Valthalak",63,63,6400
"Scarlet Commander Marjhan",60,60,3791
"Vi'el",60,60,8401
"Sothos",60,60,3075
"Spirit of Jarien",60,60,3075
"Spirit of Sothos",60,60,3075
"General Kirika",60,60,8401
"Marshal Bluewall",60,60,8401
"Windcaller Kaldon",60,60,3791
"Senior Sergeant Taiga",60,60,3791
"Captain Blackanvil",60,60,3791
"J.D. Shadesong",61,61,4091
"Squire Leoren Mal'derath",60,60,8401
"Garon Hutchins",60,60,2954
"Horde Silithyst Sentinel",60,60,3791
"Keyl Swiftclaw",60,60,3791
"Dirk Thunderwood",60,60,3791
"Cracked Necrotic Crystal",60,60,2500
"Faint Necrotic Crystal",60,60,2500
"Atiesh",61,61,4691
"Commander Thomas Helleran",60,60,3271
"Lieutenant Orrin",60,60,20
"Lieutenant Rukag",60,60,20
"Qiraji Gladiator",61,61,4681
"Elder Windrun",60,60,3252
"Elder Starsong",60,60,3252
"Elder Moonstrike",60,60,3252
"Elder Bladeleaf",60,60,3252
"Elder Starglade",60,60,3252
"Elder Moonwarden",60,60,3252
"Elder Bladeswift",60,60,3252
"Elder Bladesing",60,60,3252
"Elder Skygleam",60,60,3252
"Elder Starweave",60,60,3252
"Elder Meadowrun",60,60,3252
"Elder Nightwind",60,60,3252
"Elder Morningdew",60,60,3252
"Elder Riversong",60,60,3252
"Elder Brightspear",60,60,3252
"Elder Farwhisper",60,60,4800
"Elder Bronzebeard",60,60,3252
"Elder High Mountain",60,60,3252
"Elder Mistwalker",60,60,3252
"Elder Dreamseer",60,60,3252
"Elder Dawnstrider",60,60,3252
"Elder Skyseer",60,60,3252
"Elder Thunderhorn",60,60,3252
"Elder Windtotem",60,60,3252
"Elder Grimtotem",60,60,3252
"Elder Proudhorn",60,60,3252
"Elder Darkhorn",60,60,3252
"Elder Wildmane",60,60,3252
"Elder Skychaser",60,60,3252
"Elder Winterhoof",60,60,3252
"Elder Bloodhoof",60,60,3252
"Elder Stonespire",60,60,3252
"Elder Ragetotem",60,60,3252
"Elder Runetotem",60,60,3252
"Elder Primestone",60,60,3252
"Elder Goldwell",60,60,3252
"Elder Graveborn",60,60,3252
"Elder Ironband",60,60,3075
"Elder Snowcrown",60,60,3252
"Elder Stormbrow",60,60,3252
"Elder Darkcore",60,60,3252
"Elder Bellowrage",60,60,3252
"Elder Hammershout",60,60,3252
"Elder Obsidian",60,60,3075
"Elder Stonefort",60,60,3075
"Elder Highpeak",60,60,3075
"Elder Silvervein",60,60,3252
"Elder Rumblerock",60,60,3252
"Elder Splitrock",60,60,3252
"Elder Morndeep",60,60,3252
"Shadow of Doom",61,63,4091
"Twilight Marauder Morna",60,60,3791
"Strength of Earth Totem V",60,60,0
"Grace of Air Totem III",60,60,0
"Guardian of Icecrown",60,60,3791
"Lord Valthalak",63,63,3791
"Soul Weaver",60,60,3791
"Unstoppable Abomination",60,60,3791
"Soldier of the Frozen Wastes",60,60,3791
"Dispatch Commander Metz",60,60,8401
"Meridith the Mermaiden",60,60,3075
"Yauj Brood",60,60,3791
"Master Sergeant Maclure",60,60,3075
"Plagued Swine",60,60,3791
"Argent Dawn Infantry",60,60,8401
"Injured Argent Dawn Infantry",60,60,8401
"Captain Armando Ossex",60,60,8401
"Festival Loremaster",60,60,20
"Festival Talespinner",60,60,20
"Tonk Mine",60,60,3750
"Wushoolay",63,63,4391
"Giant Claw Tentacle",60,60,4691
"Alliance Silithyst Sentinel",60,60,8401
"Spirit of Azuregos",63,63,4641
"Cenarion Outrider",60,60,3750
"Doctor Weavil",63,63,7000
"Doctor Weavil's Flying Machine",60,60,3640
"Minion of Weavil",60,61,3941
"Cenarion Scout Landion",60,60,8401
"Cenarion Scout Azenel",60,60,8401
"Cenarion Scout Jalia",60,60,8401
"Jonathan the Revelator",61,61,3316
"Fariel Starsong",60,60,3252
"Hive'Zara Hornet",61,61,4091
"Lunar Festival Sentinel",60,60,3500
"Rotting Maggot",60,60,3791
"Tidelord Rrurgaz",62,62,4391
"Unrelenting Trainee",60,60,3075
"Unrelenting Deathknight",61,61,4091
"Unrelenting Rider",62,62,3555
"Spectral Deathknight",62,62,4391
"Spectral Rider",63,63,4691
"Nerubian Overseer",60,60,3791
"Spore",60,60,2500
"Argent Sentry",60,60,8401
"Web Wrap",60,60,2500
"Plagued Guardian",61,61,2073
"Plagued Construct",61,61,4091
"Plagued Champion",61,61,4091
"Plagued Warrior",61,61,4091
"Maexxna Spiderling",60,60,3791
"Water Elemental",60,60,20
"Treant",60,60,20
"Commander Stronghammer",60,60,3791
"Omen",63,63,4641
"Number Two",61,61,4091
"Warlord Gorchuk",60,60,3791
"Senior Sergeant Kai'jin",60,60,3791
"Master Sergeant Fizzlebolt",60,60,3791
"Bone Minion",60,60,3791
"Guard Didier",60,60,3791
"Cultist Engineer",60,60,20
"Argent Recruiter",60,60,20
"Field Marshal Chambers",60,60,20
"Spirit of the Damned",61,61,4091
"Bone Witch",61,61,4091
"Argent Dawn Initiate",60,60,20
"Lightning Totem",62,62,4091
"Pallid Horror",63,63,3640
"Argent Dawn Paladin",60,60,20
"Blizzard",63,63,20
"Lieutenant Nevell",60,60,20
"Lieutenant Lisande",60,60,20
"Lieutenant Dagel",60,60,20
"Lieutenant Beitha",60,60,20
"Void Zone",63,63,20
"Argent Quartermaster",60,60,20
"Argent Outfitter",60,60,20
"William Kielar",60,60,3791
"Lordaeron Commander",60,60,3075
"Lordaeron Soldier",60,60,3075
"Lordaeron Veteran",60,60,3075
"Lordaeron Fighter",60,60,3075
"Dame Twinbraid",60,60,3791
"Sergeant Major Germaine",60,60,3791
"Marta Finespindle",60,60,3791
"Keeper Moonshade",60,60,3791
"Huntress Swiftriver",60,60,3791
"General Zog",60,60,3791
"Field Marshal Snowfall",60,60,3791
"Master Sergeant Moonshadow",60,60,3791
"Phantim Illusion",62,62,4091
"Enraged Felguard",60,60,3791
"Blue Drakonid",60,60,3791
"Black Drakonid",60,60,3791
"Chromatic Drakonid",60,60,3791
"Bone Construct",60,60,3791
"Balzaphon",60,60,3075
"Lord Blackwood",60,60,3791
"Lumbering Horror",61,61,4091
"Creeping Doom",60,60,3640
"Qiraji Scorpion",60,60,4691
"Fandral Staghelm",63,63,6400
"Qiraji Wasp",60,60,3791
"Qiraji Drone",60,60,3791
"Qiraji Tank",60,60,3791
"Anubisath Conqueror",61,61,4091
"Hive'Zora Abomination",60,60,3791
"Senior Sergeant T'kelah",60,60,3791
"Nighthaven Defender",60,61,3791
"Chief Sharpclaw",60,60,3791
"Maws",63,63,4691
"Xandivious",62,62,3555
"Twilight Corrupter",63,63,7000
"Eranikus the Redeemed",63,63,4691
"Nightmare Phantasm",62,62,4391
"Tyrande",63,63,6400
"Priestess of the Moon",60,60,3791
"Senior Sergeant Grimsford",60,60,3791
"Dirt Mound",63,63,2500
"Resonating Crystal",60,60,7
"Supreme Silithid Flayer",60,61,5900
"Supreme Anubisath Warbringer",62,62,6500
"Qiraji Lieutenant General",62,62,7500
"Colossus Researcher Sophia",60,60,3075
"Colossus Researcher Nestor",60,60,3075
"Colossus Researcher Eazel",60,60,3075
"Qiraji Brigadier General",60,60,3791
"Imperial Qiraji Destroyer",62,63,7500
"Colossus of Ashi",63,63,9500
"Colossus of Regal",63,63,9500
"Tauren Rifleman",60,60,3791
"Tauren Primalist",60,60,18000
"Kaldorei Marksman",60,60,3791
"Lefty",60,60,3791
"Rotfang",60,60,3868
"Snokh Blackspine",60,60,1703
"Malgen Longspear",60,60,3075
"Korv",60,60,3075
"Rezznik",60,60,3075
"Va'jashni",60,60,1923
"Diseased Maggot",60,60,3791
"Volida",60,60,1703
"Spectral Assassin",60,60,3791
"Spectral Stalker",60,60,2500
"Gnashjaw",60,60,3791
"Empyrean",60,60,3791
"Bone Mage",60,60,3791
"Cenarion Hold Reservist",60,60,3791
"Bile Sludge",62,62,4091
"Argent Scout",60,60,20
"Argent Emissary",60,60,20
"Argent Messenger",60,60,3271
"Zombie Chow",60,60,3791
"Grobbulus Cloud",63,63,20
"Argent Dawn Crusader",60,60,20
"Argent Dawn Champion",60,60,20
"Argent Dawn Cleric",60,60,0
"Argent Dawn Priest",60,60,20
"Death Lord",61,61,3316
"Kirtonos the Herald (Spell Visual)",60,60,3075
"Pat's Firework Guy - RED",60,60,3750
"Pat's Firework Cluster Guy (ELUNE)",60,60,3750
"Pat's Firework Guy - YELLOW",60,60,3750
"Timbermaw Ancestor",60,60,1932
"Brain Wash Totem",62,63,0
"Champion Outrunner",60,60,899
"Champion Ranger",60,60,899
"Eskhandar",60,60,7
"Revanchion",60,60,3750
"Gurubashi Prisoner",60,60,3750
"Ahn'Qiraj Trigger",60,60,3750
"Ossirian Crystal Trigger",60,60,3750
"Vek Twins Trigger",60,60,3750
"Colossal Anubisath Warbringer",62,62,8200
"Darkspear Shaman",60,60,3750
"Lunar Firework Credit Marker",60,60,3750
"Lunar Cluster Credit Marker",60,60,3750
"Vanquished Tentacle",60,60,7
"Viscidus Trigger",63,63,7
"Poison Cloud",60,60,3750
"Ouro Spawner",60,60,3750
"InCombat Trigger",60,60,3750
"Living Poison",81,81,10033
"Naxxramas Trigger",80,80,9729
"Shadow Fissure",63,63,9729
"Naxxramas Military Sub-Boss Trigger",80,80,9729
"Keeper of the Rolls",60,60,7
"Patchwork Terror",63,63,3640
"Toxic Tunnel",60,60,9729
"Necropolis",60,60,3750
"Ghost of Naxxramas",61,61,3200
"Argent Warhorse",60,60,3750
"Spirit of Mograine",73,73,7618
"Spirit of Blaumeux",63,63,4641
"Spirit of Zeliek",63,63,4641
"Spirit of Korth'azz",63,63,4641
"Festival Flamekeeper",60,60,3750
"Infernal Destroyer",70,71,7018
"The Lich King",60,60,3750
"Festival Flamekeeper Costume: Human",73,73,7618
"Tranquil Air Totem",60,60,0
"Aurius",60,60,0
"Madness Trigger",60,60,0
"Doctor Weavil",63,63,0
"Doctor Weavil's Flying Machine",60,60,0
"Blackwing Technician",60,60,3791
"Blackwing Technician",60,60,3791
"Blackwing Technician",60,60,3791
"Blackwing Technician",60,60,3791
"Blackwing Technician",60,60,3791
"Blackwing Technician",60,60,3791
"Lord Victor Nefarius",63,63,0
"Burning Adrenaline Trigger",63,63,0
"CannonBall",60,60,20
"High Overlord Saurfang",62,62,4391
"Lieutenant General Andorov",60,60,3791
"Chris Starlightshadow",60,60,0
"Vam",63,63,4691
"Pallid Horror",60,60,0
"Flameshocker",60,60,0
"Waypoint",60,60,0
"Trash",60,60,0
"High Priest Thekal",63,63,4691
"Onyxia",63,63,0
"Brain Wash Totem",62,63,0
"Plague Slime",61,61,4091
"Plague Slime",61,61,4091
"Plague Slime",61,61,4091
"Faerlina RP",63,63,7
"Missing Diplomat Trigger",60,60,0
"Plague Fissure",63,63,7
"Plague Cloud",63,63,7
"Sapphiron's Wing buffet",63,63,7
"Tesla Coil",60,60,9729
"AQ War Cenarion Hold Wave Trigger",60,60,0
"Patchwerk",63,63,5491
"Spirit Healer",60,60,8401
"Sandfury Speaker",61,61,4091
"Bloodscalp Speaker",61,61,4091
"Skullsplitter Speaker",61,61,4091
"Vilebranch Speaker",60,61,4391
"Lord Skwol",63,63,4391
"Prince Skaldrenox",63,63,4391
"Baron Kazum",63,63,4391
"High Marshal Whirlaxis",63,63,4391
"Plagued Swine",60,60,3791
"High Overlord Saurfang",62,62,4391
"Razzashi Cobra",60,60,3791
"Lapress",60,60,3791
"Solenor the Slayer",60,60,3791
"Simone the Seductress",60,60,3791
"Klinfran the Crazed",60,60,3791
"Masterwork Target Dummy",60,60,20
"Masterwork Target Dummy",60,60,20
"Qiraji Scarab",60,60,4691
"Qiraji Scorpion",60,60,4691
